service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0,1,1,1,1,1,0,0,20110308,20110606
1,0,0,0,0,0,1,0,20110308,20110606
2,0,0,0,0,0,0,1,20110308,20110606
3,0,0,0,0,0,0,0,20110308,20110606
4,1,0,0,0,0,0,0,20110308,20110606
5,0,1,1,1,1,0,0,20110308,20110606
6,0,0,0,0,1,0,0,20110308,20110606
7,0,0,1,0,0,0,0,20110308,20110606
8,1,1,1,1,0,0,0,20110308,20110606
9,1,0,1,1,0,0,0,20110308,20110606
10,0,1,0,0,1,0,0,20110308,20110606
11,1,0,0,0,1,0,0,20110308,20110606
12,0,1,1,1,0,0,0,20110308,20110606
13,0,0,0,1,0,0,0,20110308,20110606
14,0,1,0,0,0,0,0,20110308,20110606
15,1,0,1,0,0,0,0,20110308,20110606
16,1,1,0,1,1,0,0,20110308,20110606
17,0,0,0,0,0,0,0,20110308,20110606
18,0,0,0,1,1,0,0,20110308,20110606
