route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
0,273,101,Piccadilly Gardens - Wythenshawe,3,,,
1,273,101,Wythenshawe - Piccadilly Gardens,3,,,
2,273,101,Woodhouse Park - Piccadilly Gardens,3,,,
3,273,101,Newall Green - Piccadilly Gardens,3,,,
4,273,104,Wythenshawe - Piccadilly Gardens,3,,,
5,273,104,Newall Green - Piccadilly Gardens,3,,,
6,273,104,Northenden - Wythenshawe,3,,,
7,273,104,Piccadilly Gardens - Wythenshawe,3,,,
8,273,104,Piccadilly Gardens - Newall Green,3,,,
9,273,105,Manchester Airport - Piccadilly Gardens,3,,,
10,273,105,Piccadilly Gardens - Manchester Airport,3,,,
11,273,108,Altrincham - Piccadilly Gardens,3,,,
12,273,109,Newall Green - Piccadilly Gardens,3,,,
13,273,109,Newall Green - Piccadilly Gardens,3,,,
14,273,109,Piccadilly Gardens - Newall Green,3,,,
15,273,109,Piccadilly Gardens - Chorlton (Manchester),3,,,
16,275,110,Shudehill - Trafford Centre,3,,,
17,275,110,Trafford Centre - Shudehill,3,,,
18,275,110,Eccles (Salford) - Shudehill,3,,,
19,275,110,Trafford Centre - Shudehill,3,,,
20,275,110,Trafford Centre - Shudehill,3,,,
21,275,110,Eccles (Salford) - Shudehill,3,,,
22,275,110,Trafford Centre - Shudehill,3,,,
23,276,113,Preston City Centre (Lancs) - Wigan (Greater Manchester),3,,,
24,276,113,Preston City Centre (Lancs) - Towngate (Leyland),3,,,
25,276,113,Preston City Centre (Lancs) - Wigan (Greater Manchester),3,,,
26,276,113,Appley Bridge - Wigan (Greater Manchester),3,,,
27,276,113,Wigan (Greater Manchester) - Preston City Centre (Lancs),3,,,
28,276,113,Wrightington Bar - Preston City Centre (Lancs),3,,,
29,276,113,Wigan (Greater Manchester) - Preston City Centre (Lancs),3,,,
30,276,113,Wigan (Greater Manchester) - Appley Bridge,3,,,
31,277,116,Charlestown (Manchester) - Middleton (Rochdale),3,,,
32,277,116,Middleton (Rochdale) - Middleton (Rochdale),3,,,
33,274,118,Piccadilly Gardens - Higher Crumpsall,3,,,
34,274,118,Piccadilly Gardens - Charlestown (Manchester),3,,,
35,274,118,Piccadilly Gardens - Moston (Manchester),3,,,
36,274,118,Piccadilly Gardens - Middleton Junction,3,,,
37,274,118,Manchester City Centre - Higher Crumpsall,3,,,
38,274,118,Manchester City Centre - Charlestown (Manchester),3,,,
39,274,118,Manchester City Centre - Middleton Junction,3,,,
40,274,118,Manchester City Centre - Moston (Manchester),3,,,
41,274,118,Blackley (Manchester) - Piccadilly Gardens,3,,,
42,274,118,Higher Crumpsall - Piccadilly Gardens,3,,,
43,274,118,Middleton Junction - Piccadilly Gardens,3,,,
44,274,118,Moston (Manchester) - Piccadilly Gardens,3,,,
45,274,118,Blackley (Manchester) - Manchester City Centre,3,,,
46,274,118,Higher Crumpsall - Manchester City Centre,3,,,
47,274,118,Middleton Junction - Manchester City Centre,3,,,
48,276,125,Chorley Town Centre - Bolton (Bolton),3,,,
49,276,125,Preston City Centre (Lancs) - Bolton (Bolton),3,,,
50,276,125,Clayton Brook - Bolton (Bolton),3,,,
51,276,125,Preston City Centre (Lancs) - Chorley Town Centre,3,,,
52,276,125,Preston City Centre (Lancs) - Horwich,3,,,
53,275,125,Horwich - Doffcocker,3,,,
54,276,125,Chorley Town Centre - Preston City Centre (Lancs),3,,,
55,276,125,Horwich - Preston City Centre (Lancs),3,,,
56,276,125,Bolton (Bolton) - Preston City Centre (Lancs),3,,,
57,276,125,Horwich - Chorley Town Centre,3,,,
58,276,125,Bolton (Bolton) - Chorley Town Centre,3,,,
59,276,125,Doffcocker - Horwich,3,,,
60,276,125,Adlington (Lancs) - Preston City Centre (Lancs),3,,,
61,276,125,Bolton (Bolton) - Clayton Green,3,,,
62,276,126,Preston City Centre (Lancs) - Bolton (Bolton),3,,,
63,276,126,Preston City Centre (Lancs) - Horwich,3,,,
64,276,126,Preston City Centre (Lancs) - Chorley Town Centre,3,,,
65,278,126,Horwich - Bolton (Bolton),3,,,
66,276,126,Chorley Town Centre - Preston City Centre (Lancs),3,,,
67,276,126,Horwich - Preston City Centre (Lancs),3,,,
68,276,126,Bolton (Bolton) - Preston City Centre (Lancs),3,,,
69,279,130,Wilmslow - Piccadilly Gardens,3,,,
70,279,130,Macclesfield - Piccadilly Gardens,3,,,
71,280,130,Macclesfield - Parrs Wood,3,,,
72,279,130,Piccadilly Gardens - Macclesfield,3,,,
73,280,130,Parrs Wood - Macclesfield,3,,,
74,279,130,Brunswick (Manchester) - Macclesfield,3,,,
75,279,130,Piccadilly Gardens - Wilmslow,3,,,
76,279,130,Piccadilly Gardens - Alderley Edge,3,,,
77,277,131,Boarshaw - Albert Square,3,,,
78,277,131,Alkrington Garden Village - Manchester City Centre,3,,,
79,277,131,Albert Square - Boarshaw,3,,,
80,277,131,Manchester City Centre - Alkrington Garden Village,3,,,
81,277,131,Boarshaw - Albert Square,3,,,
82,277,131,Boarshaw - Albert Square,3,,,
83,277,131,Albert Square - Boarshaw,3,,,
84,275,135,Bury (Greater Manchester) - Piccadilly Gardens,3,,,
85,275,135,Kirkhams - Piccadilly Gardens,3,,,
86,275,135,Fishpool (Bury) - Piccadilly Gardens,3,,,
87,275,135,Piccadilly Gardens - Bury (Greater Manchester),3,,,
88,275,135,Heaton Park - Bury (Greater Manchester),3,,,
89,275,135,Manchester City Centre - Bury (Greater Manchester),3,,,
90,275,137,Bury (Greater Manchester) - Shudehill,3,,,
91,275,137,Bury (Greater Manchester) - Shudehill,3,,,
92,275,137,Shudehill - Bury (Greater Manchester),3,,,
93,275,137,Heaton Park - Bury (Greater Manchester),3,,,
94,275,137,Bury (Greater Manchester) - Shudehill,3,,,
95,273,142,Parrs Wood - Piccadilly Gardens,3,,,
96,273,142,East Didsbury (Didsbury) - Piccadilly Gardens,3,,,
97,273,142,Owens Park - Piccadilly Gardens,3,,,
98,273,142,Piccadilly Gardens - Parrs Wood,3,,,
99,273,142,Chorlton upon Medlock - Christie Hospital,3,,,
100,273,143,West Didsbury - Piccadilly Gardens,3,,,
101,273,143,Piccadilly Gardens - West Didsbury,3,,,
102,277,151,Newton Heath - Cheetham Hill (Manchester),3,,,
103,277,151,Newton Heath - Hightown (Cheetham),3,,,
104,277,151,Hollinwood (Oldham) - Hightown (Cheetham),3,,,
105,277,151,Hollinwood (Oldham) - Hightown (Cheetham),3,,,
106,277,151,Hollinwood (Oldham) - Cheetham Hill (Manchester),3,,,
107,277,151,Hollinwood (Oldham) - Higher Crumpsall,3,,,
108,277,151,Chadderton - Failsworth (Oldham),3,,,
109,277,151,Chadderton - Hollinwood (Oldham),3,,,
110,277,151,Hollinwood (Oldham) - Hightown (Cheetham),3,,,
111,277,151,Higher Crumpsall - Hollinwood (Oldham),3,,,
112,277,151,Cheetham Hill (Manchester) - Hollinwood (Oldham),3,,,
113,277,151,Hightown (Cheetham) - Hollinwood (Oldham),3,,,
114,277,151,Hightown (Cheetham) - Hollinwood (Oldham),3,,,
115,277,151,Hightown (Cheetham) - Newton Heath,3,,,
116,277,151,Cheetham Hill (Manchester) - Newton Heath,3,,,
117,277,151,Hollinwood (Oldham) - Chadderton,3,,,
118,277,151,Hollinwood (Oldham) - Chadderton,3,,,
119,277,154,Cheetham Hill (Manchester) - Bury (Greater Manchester),3,,,
120,277,154,Cheetham Hill (Manchester) - Bury (Greater Manchester),3,,,
121,277,154,Bury (Greater Manchester) - Cheetham Hill (Manchester),3,,,
122,281,157,Woodford (Stockport) - Piccadilly Gardens,3,,,
123,281,157,Piccadilly Gardens - Woodford (Stockport),3,,,
124,277,159,Middleton (Rochdale) - Woodhouses (Oldham),3,,,
125,277,159,Woodhouses (Oldham) - Oldham,3,,,
126,277,159,Middleton (Rochdale) - Oldham,3,,,
127,277,159,Middleton (Rochdale) - Failsworth (Oldham),3,,,
128,277,159,Middleton (Rochdale) - Oldham,3,,,
129,277,159,Middleton (Rochdale) - Failsworth (Oldham),3,,,
130,277,159,Woodhouses (Oldham) - Middleton (Rochdale),3,,,
131,277,159,Oldham - Middleton (Rochdale),3,,,
132,277,159,Failsworth (Oldham) - Middleton (Rochdale),3,,,
