stop_id,stop_code,stop_name,stop_lat,stop_lon
2580BLA0027,bladjpj,"Blackburn (Blackburn), Bus Station H (Stand H)",53.74718,-2.48005
2580BMT0003,bladgjp,"Belmont (Blackburn), Black Dog Inn (adj)",53.63858,-2.49405
2580BMT0008,bladgmg,"Belmont (Blackburn), Black Dog Inn (opp)",53.63768,-2.49343
2580BMT0015,bladgpg,"Belmont (Blackburn), Turning Circle (by)",53.64490,-2.49745
2580CPT0003,bladtma,"Chapeltown (Blackburn), High Street (by)",53.63596,-2.40266
2580CPT0004,bladtmd,"Chapeltown (Blackburn), High Street (by)",53.63638,-2.40124
2580CPT0007,bladtmp,"Chapeltown (Blackburn), Turton Tower (by)",53.63174,-2.40637
2580CPT0008,bladtmt,"Chapeltown (Blackburn), Turton Tower (by)",53.63137,-2.40636
2580DAW0028,bladwpj,"Darwen, Darwen Cemetery (by)",53.67662,-2.45653
2580DAW0029,bladwpm,"Darwen, Darwen Cemetery (by)",53.67691,-2.45691
2580DAW0104,blagdjg,"Darwen, Town Centre (Stand 1)",53.69534,-2.46671
2580EAR0002,blagdpa,"Earcroft, Darwen Vale School (opp)",53.71609,-2.48353
2580EDG0001,blagdpj,"Edgworth, The White Horse (adj)",53.64708,-2.39266
2580EDG0007,blagdtg,"Edgworth, Church  (o/s)",53.64592,-2.39314
2580EDG0008,blagdtj,"Edgworth, Church  (o/s)",53.64551,-2.39355
2580EDG0009,blagdtm,"Edgworth, Crowthorn School (opp)",53.65967,-2.38612
2580EDG0010,blagdtp,"Edgworth, Greenthorne Close (opp)",53.64946,-2.39286
2580EDG0011,blagdtw,"Edgworth, Harbour Lane  (by)",53.64320,-2.39540
2580EDG0012,blagdwa,"Edgworth, Harbour Lane  (by)",53.64347,-2.39453
2580EDG0013,blagdwd,"Edgworth, Hob Lane (opp)",53.65356,-2.40125
2580EDG0015,blagdwj,"Edgworth, Moorside Road (by)",53.65998,-2.40540
2580EDG0017,blagdwp,"Edgworth, Crowthorn School (opp)",53.66021,-2.38571
2580EDG0020,blagjag,"Edgworth, Wayside (by)",53.65109,-2.39858
2580EDG0021,blagjaj,"Edgworth, White Horse (by)",53.64801,-2.39285
2580EWD0002,blagjda,"Ewood, Boundary (by)",53.71773,-2.48403
2580HOD0011,blagpap,"Hoddlesden, Ranken Arms (opp)",53.69579,-2.43190
2580HOD0012,blagpat,"Hoddlesden, Ranken Arms (o/s)",53.69571,-2.43180
2580INT0001,blagpjm,"Intack, Accrington Road (by)",53.74809,-2.44231
2580INT0002,blagpjp,"Intack, Accrington Road (by)",53.74801,-2.44196
2580RLE0006,blajatw,"Roe Lee, Roe Lee Park Primary School (opp)",53.77184,-2.47254
2580RLE0012,blajawp,"Roe Lee, Roe Lee Park Primary School (o/s)",53.77174,-2.47256
2580TBT0001,blajgjm,"Turton Bottoms, Jumbles Nursery (by)",53.63782,-2.39854
2580TBT0002,blajgjp,"Turton Bottoms, Jumbles Nursery (by)",53.63793,-2.39880
2580TBT0003,blajgjt,"Turton Bottoms, Spread Eagle (by)",53.63824,-2.39750
2580TBT0004,blajgjw,"Turton Bottoms, Wellington Mews (by)",53.63840,-2.39737
2580TBT0005,blajgma,"Turton Bottoms, Sandy Bank Rd (adj)",53.64064,-2.39620
2580TBT0006,blajgmd,"Turton Bottoms, Sandy Bank Rd (by)",53.64053,-2.39647
2580TCK0003,blajgdp,"Tockholes, Victoria Hotel (opp)",53.70151,-2.51504
2580TCK0007,blajgjd,"Tockholes, Victoria Hotel (o/s)",53.70155,-2.51473
2580TUR0001,blajgmg,"Chapeltown (Blackburn), Horrobin Lane (by)",53.62918,-2.40829
2580TUR0002,blajgmj,"Chapeltown (Blackburn), TURTON Horrobin Lane (by)",53.62938,-2.40849
2580TUR0003,blajgmp,"Chapeltown (Blackburn), King William  (by)",53.62634,-2.40994
2580TUR0004,blajgmt,"Chapeltown (Blackburn), King William  (opp)",53.62638,-2.40981
2580WLP0001,blajmwg,"Wilpshire, Bulls Head (o/s)",53.77909,-2.47767
2580WLP0003,blajmwm,"Wilpshire, Bulls Head (opp)",53.77865,-2.47757
2590B0079,blpadgmw,"Town Centre (Blackpool), Talbot Road (Stop T4)",53.82007,-3.05167
0600CO5014,chegdgm,"Holmes Chapel, Shopping Precinct (o/s)",53.20098,-2.35704
0600CO5015,chegdgp,"Holmes Chapel, Shopping Precinct (opp)",53.20093,-2.35728
0600MA0001,chegptg,"Broken Cross (nr Macclesfield), Fallibroome Road (cnr)",53.25954,-2.16170
0600MA0050,chegtjm,"Macclesfield, Tesco (opp)",53.25828,-2.12812
